,Название,Описание,Требования к исполнителям,Требования проекта,Заказчик,Куратор проекта,Контактная информация Заказчика,Тема проекта,Роли исполнителей,hard skills,Важность ролей
10,Разработка компьютерной игры,Разработка прототипа компьютерной игры с использованием современных инструментов в этой области,"['Формулирование основной идеи, сюжета, механик и целевой аудитории', 'Разработка дизайна уровней с учетом взаимодействия персонажей, окружения и целевых задач', 'Создание концепт-артов и дизайна персонажей, окружения и объектов']",[],CloverCreek Entertainment Ltd.,Блеканов И.С.,,Gamedev,"1. Data Science  
2. Дизайн UX / UI  
3. Backend - разработка  
4. Frontend - разработка  
5. Тестировщик","Для выполнения этого проекта разработчикам потребуется следующий набор hard-skills:

1. Языки программирования: C#, Python (возможно)
2. Движки и инструменты: Unity (основной инструмент), Unreal Engine 4/5
3. Системы контроля версий: Git
4. Знание основ геймдизайна и игровых механик
5. Опыт работы с графическими редакторами (Photoshop, Blender и др.)
6. Навыки работы с анимациями и моделями
7. Базовые знания по работе с физикой в играх (PhysX, Bullet Physics)
8. Опыт интеграции звуков и музыки
9. Умение работать с аналитическими инструментами для оценки производительности и оптимизации игр

Этот список может изменяться в зависимости от специфики проекта и требований заказчика.","1. **Data Science** - 3  
2. **Дизайн UX / UI и проектирование интерфейсов** - 5  
3. **Backend - разработка** - 3  
4. **Frontend - разработка** - 4  
5. **Тестировщик** - 3  
6. **devOps** - 2"
11,Детектирование и анализ зон покрытия сигналов спутников-ретрансляторов.,"Системы спутниковой радиосвязи давно обрели широкое распространение во всем мире. Простота подключения, охват огромных территорий на поверхности Земли и значительные скорости передачи способствуют постоянному увеличению числа абонентов. Знание регионов спутникового покрытия является важным аспектом для таких областей как проектирование комплексов связи, радиоконтроль, геолокация.

Целью проекта является накопление данных для создания карты покрытия спутникового радиовещания. В ходе работы потребуется выполнить поиск, разбор и сохранение информации об областях охвата ориентированных в пространстве лучей спутников-ретрансляторов, находящихся на геостационарной орбите.","['Технологии парсинга web-страниц, анализ изображений', 'понимание принципов тайловой графики']",[],СТЦ,Блеканов И.С.,,2. Анализ изображений и поисковые движки,"1. Data Science  
2. Backend - разработка  
3. DevOps  
4. Тестировщик  
5. Data Scientist","Для выполнения этой задачи разработчикам необходимы следующие навыки и инструменты:

1. **Python** (для парсинга веб-страниц)
2. **BeautifulSoup** (библиотека для парсинга HTML)
3. **Pillow** (библиотека для обработки изображений)
4. **GeoJSON** (формат хранения географической информации)
5. **Mapbox GL JS** (библиотека для отображения карт с использованием WebGL)
6. **Leaflet.js** (библиотека для интерактивного представления карт)
7. **OpenStreetMap API** (API для получения данных о географических объектах)
8. **GDAL/OGR** (инструменты для работы с геопространственными данными)
9. **PostgreSQL** (база данных для хранения пространственных данных)
10. **PostGIS** (расширение PostgreSQL для работы с географическими данными)","1. **Data Science**  
   Оценка: 5 (из-за необходимости анализа больших объемов данных и их визуализации)
   
2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 2 (необходимость в дизайне минимальная, проект сосредоточен на технических аспектах)
   
3. **Backend - разработка**  
   Оценка: 4 (требуется серверная часть для хранения и обработки данных)
   
4. **Frontend - разработка**  
   Оценка: 2 (передний конец не играет ключевой роли, но может потребоваться для отображения результатов)
   
5. **Тестировщик**  
   Оценка: 3 (необходимо тестировать данные и результаты, но это не основная функция)
   
6. **devOps**  
   Оценка: 2 (нужно развертывание инфраструктуры, но не критично для успеха проекта)"
12,AllergyЯ,"Разработка сервиса, предназначенного для использования людям с аллергией, позволяющего получать информацию о перемещении, графике цветения аллергенов, концентрации пыльцы в воздухе и профилактике.","['Разработка функционала для отслеживания перемещения пользователя и предоставление информации о текущем регионе/городе', 'Возможность автоматического определения местоположения пользователя через GPS или ввода адреса']",[],Социологи,Блеканов И.С.,,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","Для выполнения этого проекта разработчики должны обладать следующими навыками и инструментами:

1. Знание языков программирования, таких как Python, Java, Swift (для мобильных приложений) или Kotlin (для Android).
2. Опыт работы с геоинформационными системами (GIS), например, Google Maps API, OpenStreetMap API.
3. Навыки работы с базами данных, такими как PostgreSQL, MySQL или MongoDB.
4. Опыт разработки веб-приложений с использованием фреймворков, таких как Django (Python), Spring (Java) или Flutter (кроссплатформенная разработка).
5. Умение работать с RESTful API для интеграции с внешними сервисами.
6. Знание технологий для обработки больших объемов данных, таких как Apache Spark или Hadoop.
7. Опыт работы с системами контроля версий, такими как Git.","1. **Data Science**  
   Оценка: 5  
   Данные задачи требуют глубокого анализа данных, прогнозирования тенденций и обработки больших объемов информации о растениях и погоде. Это ключевая роль для создания точных рекомендаций и персонализации сервиса.
   
2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 4  
   Хотя дизайн интерфейсов не является критически важной задачей для самого функционала отслеживания, он играет значительную роль в удобстве использования приложения и его привлекательности для пользователей.

3. **Backend - разработка**  
   Оценка: 5  
   Для интеграции всех компонентов системы (отслеживание, анализ данных, рекомендации) необходима надежная серверная часть, которая будет обрабатывать запросы и предоставлять данные пользователям.

4. **Frontend - разработка**  
   Оценка: 4  
   Фронтенд-разработчики отвечают за визуализацию данных и взаимодействие с пользователем. Эта роль также важна, но ее можно считать менее критичной по сравнению с backend и data science.

5. **Тестировщик**  
   Оценка: 3  
   Тестирование важно для любого проекта, но оно не требует высокой квалификации и может быть выполнено на более поздних этапах разработки.

6. **devOps**  
   Оценка: 3  
   DevOps инженер отвечает за инфраструктуру и развертывание проекта, что также важно, но не так критично, как основные функции приложения."
13,Интеллектуальные технологии по градостроительству,"Оценка инвестиционного и социально-экономического потенциала развития территории. Концепция жилой и общественно-деловой застройки. Технико-экономические показатели проекта и экономическая модель. Инсоляция, квартирография, трассировка инженерных сетей с расчетными нагрузками. Параметрическая 3D-модель территории с текстурированной визуализацией.","['Знание Javascript/Typescript', 'Знание стандартов HTML/CSS', 'Знание фреймворков React/Angular/Vue', 'Знание инструментов сборки фронтенд-проектов']","['Разработать веб-ориентированное приложение для исследования и оптимизации градостроительных решений', 'Приложение должно позволять загружать и обрабатывать карту любой территории, представлять и визуализировать градостроительные решения']",Центр аналитики динамических процессов СПбГУ,С.Ю. Севрюков,А. Ю. Крылатов,Разработка веб-сервисов,"1. **Frontend Developer**  
   Требуется знание JavaScript/TypeScript, HTML/CSS и одного из популярных фреймворков (React, Angular, Vue) для разработки веб-ориентированного приложения.

2. **Backend Developer**  
   Знание языков программирования и технологий для разработки серверной части приложения, которая будет работать с картами и градостроительными данными.

3. **Data Scientist**  
   Учитывая анализ данных и оценку инвестиционного потенциала, необходимы специалисты по Data Science для обработки и анализа информации.

4. **DevOps Engineer**  
   Для обеспечения работы приложения и его интеграции с инфраструктурой требуется специалист по DevOps, который будет заниматься настройкой CI/CD процессов и развертыванием приложения.

5. **QA Engineer**  
   Тестировщик для проверки корректности работы приложения и соответствия его функционала требованиям заказчика.","JavaScript, TypeScript, HTML, CSS, React, Angular, Vue, Webpack, Babel","1. **Data Science**  
   Оценка: 3  
   Данные задачи требуют анализа данных и машинного обучения, что является важной частью проекта, но не основной.
   
2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 4  
   Это ключевая роль для создания удобного и привлекательного интерфейса приложения.
   
3. **Backend - разработка**  
   Оценка: 3  
   Важна для обработки данных и работы серверной части приложения, но менее критична, чем фронтенд.
   
4. **Frontend - разработка**  
   Оценка: 5  
   Фронтенд разработчики необходимы для реализации веб-приложения согласно требованиям.
   
5. **Тестировщик**  
   Оценка: 2  
   Менее значимая роль на начальном этапе разработки, но может стать более важной при тестировании готового продукта.
   
6. **devOps**  
   Оценка: 2  
   Не является критически важной ролью на ранних этапах разработки, так как основное внимание уделяется разработке функционала."
14,Интеллектуальное возвращение БпЛА в точку старта при отсутствии ГНСС и связи со станцией управления,"Проект посвящён управлению БпЛА, оснащённого камерой. Но
действующего в отсутствии сигнала ГНСС или иного активного
источника сигнала (радиомаяка). Целью является предоставление
возможности БпЛА автоматически совершить возврат в определённую
точку (точку старта) в случае потери сигнала ГНСС. Таким образом,
предполагается, что БпЛА сначала осуществлял полет с
использованием данных ГНСС, а замет потерял этот сигнал, оказался в
ситуации, в которой выполнение полётного задания оказалось
невозможным, и теперь требуется БпЛА вернуть на место старта или в
место, где сигнал ГНСС снова присутствует. При этом возможно
использование спутниковой геоподложки земного шара в качестве
основы представления о местности, в которой осуществляется полёт.","['Язык программирования: C++', 'Программирование embedded системы', 'Знание основ компьютерного зрения', 'Знание алгоритмов машинного обучения (глубокого машинного обучения)', 'Наличие навыков работы с семейством плат RockChip, в частности создание коды под вычислитель NPU (neural process unit)', 'Наличие навыков программирования GPU (семейство Mali) с применением технологии openCL', 'Знание способов оптимизации кода под архитектуру ARM64 (использование технологии ARM NEON)']",[],Гескан,Блеканов И.С.,,6. Робототехника,"1. **Data Science**  
   Для анализа данных и разработки моделей машинного обучения, которые будут использоваться для автономного управления БПЛА.
   
2. **Backend - разработка**  
   Для создания серверной части, которая будет обрабатывать данные от БПЛА и обеспечивать их передачу на устройство.

3. **Frontend - разработка**  
   Для создания пользовательского интерфейса, через который оператор сможет контролировать БПЛА и получать информацию о его состоянии.

4. **DevOps**  
   Для настройки и поддержки инфраструктуры, необходимой для работы приложения, включая настройку CI/CD процессов и управление версиями.

5. **Embedded Developer**  
   Для работы с низкоуровневым программированием встроенных систем, используемых в БПЛА, включая работу с процессорами и датчиками.","Для выполнения этого проекта разработчики должны обладать следующими навыками и знаниями:

1. **C++** – основной язык программирования для управления БПЛА.
2. **Embedded системы** – разработка программного обеспечения для встроенных систем.
3. **Компьютерное зрение** – для обработки изображений и видео с камеры БПЛА.
4. **Машинное обучение** – для анализа данных и принятия решений на основе информации, полученной от сенсоров.
5. **NPU (Neural Process Unit)** – навыки программирования специализированных процессоров для задач глубокого обучения.
6. **GPU (графический процессор)** – опыт программирования с использованием технологий открытого стандарта OpenCL.
7. **ARM64** – оптимизация кода под архитектуру ARM64, включая использование технологии ARM NEON для ускорения операций.
8. **Семейство плат RockChip** – знание и опыт работы с конкретными аппаратными платформами.
9. **Технология ARM NEON** – использование этой технологии для повышения производительности на устройствах с архитектурой ARM.","1. **Data Science**  
   Оценка: 5  
   Данная роль важна, так как проект предполагает использование методов машинного обучения для управления БПЛА в условиях отсутствия сигнала ГНСС. Это требует специалиста с глубокими знаниями в области Data Science и ML.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 3  
   Хотя дизайн интерфейса важен для удобства использования, данный проект больше сосредоточен на технической стороне разработки, поэтому эта роль менее критична.

3. **Backend - разработка**  
   Оценка: 2  
   Эта роль не сильно значима для данного проекта, который фокусируется на разработке фронтенд- и бэкенд-компонентов, связанных с управлением БПЛА.

4. **Frontend - разработка**  
   Оценка: 4  
   Разработка фронтенда важна для создания пользовательского интерфейса, но она не является критически необходимой для основной задачи проекта – управления БПЛА.

5. **Тестировщик**  
   Оценка: 3  
   Тестирование важно для любого проекта, но его роль может быть менее приоритетной, если основная цель – это техническая реализация системы управления БПЛА.

6. **devOps**  
   Оценка: 2  
   DevOps-инженер отвечает за инфраструктуру и автоматизацию процессов, что также важно, но не первостепенно для решения текущей задачи проекта."
15,Модуль отладки динамического поведения графических объектов виртуальной реальности,"""Имеется набор графических 3х-мерных объектов с частично реализованным динамическим поведением. Пример графического объекта - щит управления некоторым технологическим оборудованием. На щите управления расположены сигнализаторы и органы управления (лампы, кнопки и ключи). Динамическое поведение - изменение графических атрибутов объекта  во времени, а также реакция на действия пользователя. Графические объекты могли бы быть разработаны, к примеру, для использования в составе тренажера сложного технического объекта в виртуальной реальности. Моделируемый щит управления позволяет наблюдать за состоянием сигнализаторов и передавать состояние органов управления путем соответственно чтения и записи набора динамических моделируемых переменных. Т.е. каждый графический подобъект (лампа, кнопка и др.) в соответствии с собственным типом и идентификатором оборудования ассоциируется с переменной с известным именем. Штатный режим функционирования графических объектов в составе тренажера предполагает, что поставщиком данных, т.е. местом определения переменных, служит некоторая расчетная задача. ",[],[],Росатом,Блеканов И.С.,,6. Робототехника,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. Тестировщик  
5. DevOps","python, blender, opencv, vtk, unity","1. **Data Science**  
   Оценка: 3  
   Данные роли важны для анализа и обработки данных, которые могут использоваться для настройки и улучшения работы системы. Однако в данном проекте основной акцент сделан на разработке графики и взаимодействии с пользователем, поэтому роль Data Science не является критически важной.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 5  
   Эта роль играет ключевую роль в проекте, так как она отвечает за удобство взаимодействия пользователей с системой. В данном случае важно создать интуитивно понятный интерфейс для работы с 3D-объектами.

3. **Backend - разработка**  
   Оценка: 3  
   Backend разработчики необходимы для реализации логики работы с данными и переменными, но их роль менее критична, чем у разработчиков фронтенда и дизайнеров.

4. **Frontend - разработка**  
   Оценка: 5  
   Разработчики фронтенда играют важную роль, поскольку они отвечают за визуализацию и взаимодействие с пользователями через пользовательский интерфейс.

5. **Тестировщик**  
   Оценка: 4  
   Тестирование важно для любого проекта, но его роль может быть менее критичной на ранних этапах разработки, когда основное внимание уделяется созданию функциональности.

6. **devOps**  
   Оценка: 3  
   DevOps инженеры важны для обеспечения стабильности и масштабируемости системы, но их роль в этом конкретном проекте может быть менее значимой, если основная цель — создание прототипа."
16,Автоматическая цветовая коррекция,"""Автоматическая цветовая коррекция необходима для улучшения визуального качества изображений путем оптимизации их цветового баланса. В процессе создания и обработки изображений могут возникать различные недочеты в цветопередаче, такие как неправильный баланс белого или оттенок. Это может происходить из-за неправильной экспозиции, освещения или настроек камеры.

Автоматическая цветовая коррекция позволяет исправить эти недочеты, делая цвета более точными и естественными. Это способствует улучшению восприятия и визуальной привлекательности изображений.
 
Автоматизация процесса цветовой коррекции также позволяет сэкономить время и усилия, особенно при работе с большим объемом изображений. 

Проект представляет собой разработку алгоритма автоматической коррекции цвета изображения, который может использоваться для улучшения качества фотографий, полученных с фотокамеры или других источников изображений. Алгоритм должен способствовать автоматическому исправлению цветового баланса, насыщенности и других параметров цвета с целью достижения более точного и приятного визуального восприятия изображений.""","['Понимание технологий WebGL, JavaScript, CanvasAPI', 'Знание основных принципов цветовой коррекции и фильтрации изображений', 'Понимание принципов работы с изображениями в форматах JPEG, PNG и других распространённых форматах']",[],СТЦ,Блеканов И.С.,,3. Анализ изображений,"1. **Data Science**  
2. **Backend - разработка**  
3. **Frontend - разработка**  
4. **Тестировщик**  
5. **DevOps**","Для выполнения этого проекта разработчикам потребуется следующий набор hard-skills:

1. Знание основ работы с изображениями в форматах JPEG, PNG и других распространенных форматах (например, TIFF, BMP).
2. Понимание принципов работы с изображениями в формате WebP.
3. Навыки использования библиотек для работы с изображениями, таких как OpenCV, ImageMagick или другие библиотеки для обработки изображений.
4. Опыт реализации алгоритмов цветовой коррекции, включая базовые знания о цветовых моделях RGB, HSL, CMYK.
5. Умение работать с инструментами для анализа и корректировки цветового баланса изображений.
6. Понимание основ работы с WebGL, JavaScript и Canvas API для интеграции алгоритма в веб-приложение.","1. **Data Science** - 5  
   Оценка: Высокая. Данная роль важна для анализа данных изображений и настройки алгоритмов машинного обучения, необходимых для автоматической цветовой коррекции.
   
2. **Дизайн UX / UI и проектирование интерфейсов** - 2  
   Оценка: Низкая. Хотя дизайн интерфейсов важен для удобства пользователей, проект сосредоточен на разработке алгоритма, а не на пользовательском опыте.
   
3. **Backend - разработка** - 3  
   Оценка: Средняя. Эта роль важна для реализации серверной части приложения, но основной акцент сделан на фронтенд и обработку изображений.
   
4. **Frontend - разработка** - 4  
   Оценка: Высокая. Фронтенд разработка играет ключевую роль в создании пользовательского интерфейса и отображении результатов цветовой коррекции.
   
5. **Тестировщик** - 3  
   Оценка: Средняя. Тестирование важно для обеспечения качества продукта, но его можно рассматривать как вспомогательную роль.
   
6. **devOps** - 2  
   Оценка: Низкая. DevOps важен для автоматизации процессов развертывания и управления инфраструктурой, но это менее критично для разработки самого алгоритма."
17,Алгоритм Retinex,"""Целью данного проекта является разработка и реализация алгоритма улучшения изображения Retinex с использованием WebGL, который будет функционировать в браузере. Алгоритм Retinex является одним из наиболее эффективных методов для улучшения качества изображения, а использование WebGL позволит эффективно использовать графическое аппаратное ускорение браузера для быстрой обработки изображений.

Алгоритм Retinex основан на теории восприятия цвета человеческим глазом. Он позволяет улучшить качество изображения, компенсируя неконтролируемые факторы такие как освещение и отражения, которые могут исказить цвета и контрастность изображения. Алгоритм основан на предположении, что яркость сцены воспринимается сенсорами сетчатки глаза в логарифмическом масштабе, что позволяет более точно воспроизвести оттенки и контрастность.

Реализация алгоритма Retinex с использованием WebGL позволяет производить параллельные вычисления на графическом процессоре, что повышает производительность и позволяет обрабатывать изображения в реальном времени.

В рамках разработки проекта должны быть учтены требования к оптимизации производительности, чтобы обеспечить быстрое и плавное выполнение алгоритма Retinex на графическом процессоре. Кроме того, предусмотрены настройки параметров алгоритма, такие как уровень контраста и яркости изображения, чтобы пользователи могли легко настраивать результаты обработки под свои потребности.

Все вышеописанные задачи и требования будут выполняться с использованием языка JavaScript, HTML5 и WebGL. Проект будет реализован с использованием современных инструментов разработки и методологий, чтобы обеспечить высокое качество кода и удобство его поддержки.""","['Понимание принципов работы с WebGL, JavaScript, HTML5', 'Основные знания по цифровой обработке изображений']",[],СТЦ,Блеканов И.С.,,1. Разработка веб-сервисов,"1. **Data Science**  
2. **Backend - разработка**  
3. **Frontend - разработка**  
4. **Тестировщик**  
5. **DevOps**","Для реализации этого проекта разработчикам необходимы следующие hard-skills:

1. Знание JavaScript
2. Знание HTML5
3. Опыт работы с WebGL
4. Основы цифровой обработки изображений","1. **Data Science** - 3  
   Оценка снижена, так как хотя Data Science важна для понимания теории Retinex, основная работа связана с реализацией алгоритма на WebGL, где ключевую роль играют разработчики frontend и backend.
   
2. **Дизайн UX / UI и проектирование интерфейсов** - 2  
   Эта роль менее значима, поскольку проект фокусируется на технической реализации алгоритма, а не на дизайне интерфейса.

3. **Backend - разработка** - 3  
   Backend не играет большой роли в проекте, так как он сосредоточен на клиентской части (frontend) и обработке данных в браузере.

4. **Frontend - разработка** - 5  
   Разработчики frontend критически важны, так как они реализуют пользовательский интерфейс и непосредственно работают с WebGL и алгоритмом Retinex.

5. **Тестировщик** - 4  
   Тестирование важно, но не настолько критично, как разработка, так как основной акцент сделан на техническую реализацию.

6. **devOps** - 2  
   DevOps не требуется для выполнения задач проекта, так как это чисто клиентская разработка без необходимости развертывания серверной инфраструктуры."
18,Рекомендательная система в сфере ценообразования,"Для повышения продаж на e-commerce площадках требуется назначение оптимальной цены на каждый товар. При этом в зависимости от различных внешних факторов, спрос и предложение на различные группы товаров, а также конкретные наименования могут сильно варьироваться. Управление ценой является одним из основных инструментов, позволяющих влиять на продажи.","['Базовые знания SQL и подходов ML', 'Умение искать и обрабатывать информацию', 'Знания в анализе данных', 'Хорошее знание одного из ЯП']","['Провести исследование существующих алгоритмов выявления оптимальной цены применительно к одной из площадок. Оценить их применимость для e-commerce.', 'Провести анализ применимости нейросетевых подходов для формирования оптимальной цены.', 'Реализовать выбранные (или предложенные) алгоритмический и нейросетевой подход на любом из ЯП.', 'Оценить применимость и качество работы реализованных методов в ретроспективе на предоставленных выборках с площадки.']","Компания ""BitArtX""",И.С. Блеканов,Алексей Максимов,5. Анализ табличных данных,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. Тестировщик  
5. DevOps","SQL, Python, машинное обучение, анализ данных","1. **Data Science**  
   Оценка: 5  
   Данная роль критически важна для проекта, так как именно специалисты по Data Science будут проводить исследования, разрабатывать модели и анализировать результаты. Это ключевая компетенция для достижения целей проекта.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 3  
   Эта роль менее критична для данного проекта, поскольку основной акцент делается на исследовании и разработке алгоритмов. Однако качественный дизайн может улучшить пользовательский опыт и повысить продажи, поэтому его значение нельзя полностью игнорировать.

3. **Backend - разработка**  
   Оценка: 4  
   Разработчики бэкэнда необходимы для реализации выбранного алгоритма и интеграции его с платформой. Они играют важную роль, но не являются первоочередными для успеха проекта.

4. **Frontend - разработка**  
   Оценка: 4  
   Как и в случае с дизайнерами UX/UI, фронтенд разработчики важны, но их вклад можно считать второстепенным, так как основная часть усилий направлена на разработку алгоритмов и моделей.

5. **Тестировщик**  
   Оценка: 3  
   Тестирование важно для любого проекта, но оно не требует глубоких знаний в области машинного обучения или анализа данных. Его значимость ниже, чем у разработчиков и специалистов по Data Science.

6. **devOps**  
   Оценка: 2  
   DevOps инженер играет вспомогательную роль в проекте, обеспечивая инфраструктуру и поддержку разработки. Его вклад не является критическим для достижения целей проекта."
19,Реестр проектов клинической практики СПбГУ,"Многомодульная ИС для регистрации, отслеживания статуса и деталей проектов, проводимых студентами в рамках клинической практик СПбГУ (см. https://spbu.ru/studentam/praktika/praktika-po-modeli-kliniki-v-spbgu). Имеет публичную часть для обзора истории о выполненных проектах, закрытую часть для ограниченного доступа администраторам (руководителей и сотрудников клиник), средства для сбора статистики из проектных окружений и её визуализации.","['Сбор и структурирование требований от представителей функционального заказчика', 'Проектирование и прототипирование ИС и её модулей', 'Составление матрицы прав и ролей', 'Проектирование БД, реализация слоя доступа к данным', 'Дизайн и разработка UI', 'Разработка сервисов интеграции для получения данных об активности в репозиториях команд (GitHub)', 'Разработка средств управления доступом']",[],Первый проректор по учебной работе,Блеканов И.С.,,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Тестировщик","Для выполнения задач по данному проекту разработчикам потребуется следующий набор hard-skills:

1. **Java** – основной язык программирования для реализации многомодульной системы.
2. **CSS** – для стилизации интерфейса.
3. **NLP (Natural Language Processing)** – может потребоваться для анализа текстовых данных, например, при работе с комментариями пользователей.
4. **SQL** – для работы с базой данных.
5. **Git** – для контроля версий кода и взаимодействия между членами команды.
6. **Docker** – для контейнеризации приложений.
7. **Spring Framework** – для создания серверной части приложения.
8. **React** – для фронтенд разработки.
9. **Node.js** – если требуется работа с бэкендом и API.
10. **JUnit** – для тестирования.
11. **PostgreSQL** – для хранения данных.
12. **Maven** – для сборки проекта.
13. **Swagger** – для документирования API.
14. **OAuth2** – для управления авторизацией и аутентификацией.
15. **Linux** – для настройки сервера и работы с командной строкой.

Этот список может изменяться в зависимости от конкретных требований и технологий, используемых в проекте.","1. **Data Science** - 2  
   Оценка: 2 балла.  
   Хотя проект связан с обработкой данных, объем работы для специалиста по Data Science невелик. Основные задачи касаются сбора и анализа данных, а не сложных моделей машинного обучения.
   
2. **UX/UI дизайнер** - 5  
   Оценка: 5 баллов.  
   Важность этой роли высока, так как проект включает разработку удобного и интуитивно понятного интерфейса для пользователей. Это ключевой элемент взаимодействия с системой.

3. **Backend-разработчик** - 4  
   Оценка: 4 балла.  
   Эта роль важна, но ее значимость ниже, чем у UX/UI дизайнера. Основная работа связана с разработкой серверной части системы, что требует глубоких знаний в области программирования, но не предполагает создания уникального пользовательского опыта.

4. **Frontend-разработчик** - 4  
   Оценка: 4 балла.  
   Как и в случае с backend-разработчиком, эта роль важна, но менее критична, чем UX/UI дизайнер. Frontend-разработчик отвечает за создание клиентской части приложения, которая должна быть адаптивной и удобной для пользователя.

5. **Тестировщик** - 3  
   Оценка: 3 балла.  
   Тестировщик играет важную роль, но его вклад может быть частично компенсирован автоматизированными тестами. Тем не менее, тестирование является неотъемлемой частью разработки качественного ПО.

6. **DevOps** - 3  
   Оценка: 3 балла.  
   DevOps-инженер также играет важную роль, особенно учитывая необходимость настройки CI/CD процессов и развертывания системы. Однако его вклад не столь критичен, как у других разработчиков."
20,Создание полевого робота для агроскаутинга,"Для проведения научно-исследовательских экспериментальных работ, а также для решения определенного круга задач точного земледелия необходимо создать полевого робота. Основные задачи робота - это дистанционный сбор и передача в ГИС-приложение агроэкологических геоданных. Сбор данных предполагается осуществлять с помощью почвенного датчика, а также оптических сенсоров.
","['Навыки моделирования', 'Умение работы с датчиками (Sensor soil, 2D Lidar, RGBD camera, GPS)', 'Базовые занания программирования на C++', 'Знание работы передачи данных (LORA)', 'Знание базовых основ работы в Linux и ROS (Robot Operating System)', 'Умение искать и обрабатывать информацию']","['Разработать пайплайн реализации робота в задаче агроскаутинга', 'Смоделировать архитектуру робота со всеми его элементами (база, корпус, комплектующие и т.п.), рассчитать основные теоретические параметры механики (нагрузки, мощность двигателя и т.п.)', 'Создать интерфейс для загрузки задания роботу и контролем его выполнения в реальном времени', 'Протестировать прототип на работоспособность', 'Продумать дальнейшее развитие робота', 'Описать подробное руководство пользование роботом', 'Сделать прототипа программного управления агроскаутером', 'Модернизировать данный робототехнический комплекс', 'Строить маршруты следования робота']",Кафедра технологии программирования СПбГУ,И.С. Блеканов,Е.П. Митрофанов,Робототехника,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","Для решения данной задачи разработчикам необходимы следующие навыки и инструменты:

1. **C++** – для программирования робота.
2. **Linux** – для работы с операционной системой робота.
3. **ROS (Robot Operating System)** – для управления роботом.
4. **Sensor soil** – для работы с почвенными датчиками.
5. **2D Lidar** – для сканирования окружающей среды.
6. **RGBD camera** – для получения изображений и видео.
7. **GPS** – для определения местоположения робота.
8. **Передача данных (LORA)** – для отправки и получения данных между роботом и ГИС-приложением.","Вот как я бы оценил важность каждой роли для данного проекта:

1. **Data Science**  
   Оценка: 4  
   Роль важна, так как требуется обработка большого объема данных, полученных с датчиков, для анализа почвы и окружающей среды.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 3  
   Хотя интерфейсы важны для взаимодействия пользователя с роботом, проект больше ориентирован на техническую реализацию, чем на дизайн.

3. **Backend - разработка**  
   Оценка: 4  
   Необходима надежная серверная часть для обработки и хранения данных, что делает эту роль значимой.

4. **Frontend - разработка**  
   Оценка: 2  
   Важность этой роли ниже, поскольку основной акцент делается на технической стороне разработки, а не на пользовательском интерфейсе.

5. **Тестировщик**  
   Оценка: 4  
   Тестирование важно для обеспечения корректной работы всех компонентов системы, особенно учитывая сложность робота и его взаимодействие с окружающей средой.

6. **devOps**  
   Оценка: 3  
   Эта роль важна для обеспечения эффективной работы инфраструктуры и автоматизации процессов, но не является критически необходимой для самого процесса разработки."
